[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1500091929.501000 7/14/2017, 9:12:09 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, pb6051
INFO, WEIGHT, 70.000
INFO, AREA,
INFO, LENGTH,
INFO, SHAPE,
INFO, COMMENT,
INFO, SEQUENCE FILE: pb6051_dc_mag_v3_ac1500Oe.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1500092281.220,,2.509501e+002,1.801167e+000,1.520409e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.910017e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,5.769730e-004,0,0,0,
1500092285.720,,2.509501e+002,1.800673e+000,1.520176e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.910335e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.523018e-003,0,0,0,
1500092290.230,,2.509501e+002,1.801260e+000,1.521937e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909035e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.859665e-004,0,0,0,
1500092295.215,,2.509501e+002,1.801559e+000,1.520828e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909185e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,7.840395e-004,0,0,0,
1500092300.200,,2.509501e+002,1.801003e+000,1.520758e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908645e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,3.290176e-004,0,0,0,
1500092305.185,,2.509501e+002,1.800982e+000,1.520220e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909163e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,2.880096e-004,0,0,0,
1500092310.170,,2.509501e+002,1.801497e+000,1.522363e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908919e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,7.430315e-004,0,0,0,
1500092315.155,,2.509501e+002,1.801199e+000,1.520556e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908676e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.340032e-003,0,0,0,
1500092320.140,,2.509501e+002,1.801714e+000,1.520954e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.908820e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.440048e-004,0,0,0,
1500092325.125,,2.509501e+002,1.800848e+000,1.519905e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.910904e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,4.739761e-004,0,0,0,
1500092330.110,,2.509501e+002,1.800849e+000,1.520673e-002,0.000000e+000,0.000000e+000,0.000000e+000,2,9.909761e-001,1.825000e+000,,,,,,,,,,,,,,,,,,1,7.000000e-001,4.000000e+000,1,1,1.461983e-003,0,0,0,
